date,home,away,gh,ga,result,home_gf_avg,away_gf_avg,home_ga_avg,away_ga_avg,goal_diff_avg
2024-10-23 01:00:00+00:00,Santos Laguna,CF Pachuca,1,1,0,1.0,0.8,1.8,2.2,0.6000000000000001
2024-10-23 01:05:00+00:00,Guadalajara Chivas,Necaxa,3,2,1,2.4,0.6,0.8,1.4,2.4
2024-10-23 03:05:00+00:00,Toluca,Puebla,5,0,1,2.8,0.6,0.6,1.4,2.9999999999999996
2024-10-23 03:06:00+00:00,Mazatlán,Tigres UANL,2,0,1,1.6,1.8,1.0,1.2,0.0
2024-10-24 01:00:00+00:00,Cruz Azul,FC Juarez,4,0,1,2.4,1.4,0.4,2.6,3.2
2024-10-24 01:00:00+00:00,Monterrey,U.N.A.M. - Pumas,0,0,0,2.0,1.0,1.4,1.2,0.8
2024-10-24 03:00:00+00:00,Leon,Atlas,0,0,0,1.0,1.4,1.0,2.4,1.0
2024-10-24 03:05:00+00:00,Club Tijuana,Club America,2,2,0,2.0,1.0,1.0,1.6,1.6
2024-10-26 01:00:00+00:00,Santos Laguna,Mazatlán,0,0,0,1.2,0.0,1.4,0.8,0.6000000000000001
2024-10-26 03:00:00+00:00,Puebla,Guadalajara Chivas,1,0,1,1.6,1.0,2.2,0.6,-1.0
2024-10-26 23:00:00+00:00,Leon,Club Queretaro,4,0,1,0.8,1.0,0.8,1.8,0.8
2024-10-27 01:00:00+00:00,U.N.A.M. - Pumas,Cruz Azul,0,2,2,1.6,2.2,0.6,1.4,0.19999999999999973
2024-10-27 03:00:00+00:00,Tigres UANL,CF Pachuca,2,1,1,1.2,1.0,0.6,2.0,1.6
2024-10-27 03:05:00+00:00,Atlas,Club Tijuana,0,0,0,1.0,0.6,0.4,2.0,2.0
2024-10-28 00:00:00+00:00,Necaxa,Toluca,1,3,2,1.4,1.2,0.8,1.2,0.5999999999999999
2024-10-28 00:06:00+00:00,FC Juarez,Atletico San Luis,2,4,2,1.0,0.2,1.6,1.8,1.0
2024-10-28 02:05:00+00:00,Club America,Monterrey,2,1,1,1.4,1.4,0.4,1.0,0.6
2024-11-02 01:00:00+00:00,Club Queretaro,FC Juarez,1,2,2,0.2,1.4,1.0,2.8,0.5999999999999999
2024-11-02 03:00:00+00:00,Mazatlán,Club America,0,5,2,1.6,1.4,0.6,1.8,1.4000000000000001
2024-11-02 03:05:00+00:00,Club Tijuana,Tigres UANL,0,3,2,1.8,1.2,1.2,1.6,1.0000000000000002
2024-11-02 23:00:00+00:00,Toluca,Leon,2,2,0,3.2,1.6,0.6,2.0,3.0
2024-11-02 23:00:00+00:00,Atletico San Luis,Puebla,2,0,1,2.6,0.4,0.6,1.6,3.2
2024-11-03 01:05:00+00:00,Guadalajara Chivas,U.N.A.M. - Pumas,0,0,0,2.6,0.6,1.2,1.0,1.8000000000000003
2024-11-03 01:05:00+00:00,Monterrey,Atlas,4,0,1,1.6,1.0,1.2,2.2,1.6000000000000003
2024-11-03 03:06:00+00:00,CF Pachuca,Necaxa,6,2,1,1.4,0.8,1.8,1.8,0.5999999999999999
2024-11-03 03:10:00+00:00,Cruz Azul,Santos Laguna,2,0,1,2.6,0.6,0.4,2.2,3.8000000000000003
2024-11-06 01:00:00+00:00,Santos Laguna,Guadalajara Chivas,0,2,2,0.6,0.6,1.0,0.8,-0.19999999999999996
2024-11-06 01:00:00+00:00,Leon,Mazatlán,0,0,0,1.4,0.0,0.6,0.4,1.2
2024-11-06 03:05:00+00:00,U.N.A.M. - Pumas,Club Queretaro,2,0,1,1.2,1.0,1.0,1.8,1.0
2024-11-07 01:00:00+00:00,Tigres UANL,Toluca,2,1,1,1.4,1.6,0.8,1.2,0.19999999999999973
2024-11-07 01:00:00+00:00,Club America,CF Pachuca,2,1,1,1.8,1.2,0.4,1.8,2.0
2024-11-07 01:00:00+00:00,Necaxa,Atletico San Luis,1,1,0,1.6,1.0,1.2,1.8,1.2000000000000002
2024-11-07 03:05:00+00:00,Atlas,Cruz Azul,2,2,0,0.8,2.2,0.4,1.4,-0.40000000000000024
2024-11-07 03:06:00+00:00,FC Juarez,Club Tijuana,1,1,0,1.2,0.6,2.0,1.4,-1.1102230246251565e-16
2024-11-09 01:00:00+00:00,Club Queretaro,Santos Laguna,3,2,1,0.4,0.6,1.0,2.4,1.1999999999999997
2024-11-09 03:00:00+00:00,Mazatlán,U.N.A.M. - Pumas,0,1,2,1.0,0.4,1.6,0.6,-0.40000000000000013
2024-11-09 23:05:00+00:00,Guadalajara Chivas,Atletico San Luis,0,1,2,1.6,1.0,1.2,1.6,1.0000000000000002
2024-11-10 01:00:00+00:00,Toluca,Club America,4,0,1,3.2,2.0,0.8,1.6,2.0000000000000004
2024-11-10 01:00:00+00:00,CF Pachuca,FC Juarez,0,1,2,2.2,1.8,2.2,2.0,0.19999999999999996
2024-11-10 03:05:00+00:00,Cruz Azul,Tigres UANL,1,1,0,2.8,1.2,0.2,1.4,2.8
2024-11-10 23:00:00+00:00,Necaxa,Atlas,0,0,0,1.2,0.8,1.4,2.6,1.6
2024-11-11 01:05:00+00:00,Monterrey,Leon,2,1,1,2.2,1.6,0.8,2.0,1.8
2024-11-11 03:10:00+00:00,Club Tijuana,Puebla,2,1,1,1.4,0.2,1.4,2.0,1.8
2024-11-22 01:05:00+00:00,Guadalajara Chivas,Atlas,1,2,2,1.2,0.8,1.4,2.0,1.0
2024-11-25 03:00:00+00:00,Club Tijuana,Atlas,3,0,1,1.4,1.0,1.4,1.4,0.3999999999999999
2024-11-28 01:00:00+00:00,Club America,Toluca,2,0,1,2.0,1.4,0.6,1.4,1.4
2024-11-28 03:10:00+00:00,Club Tijuana,Cruz Azul,3,0,1,1.8,2.2,1.4,1.6,-0.19999999999999996
2024-11-29 01:00:00+00:00,Atletico San Luis,Tigres UANL,3,0,1,2.2,1.4,0.6,1.4,1.6
